Num,Document ,url,type,Pub_date,Access_date,Search,Databse,Type_actor,Condensed_gov_actors,Condensed_level,Condensed_function,Political_actor,Pol_actor_persp,Law_detailed,State_of_science,Process_as_is,Distinct_population,Recovery_goals,Agency_capacity,Human_wildlife_conflict,Native_persp,Costs_mgmt,Privateland_losshabitat,Hunting_mgmt,Climate_change
35,UPDATED: MT pols praise FWS review of grizzly ESA status,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/updated-mt-pols-praise-fws-review-grizzly-esa/docview/2772188787/se-2?accountid=14793,Newspaper,2/3/23,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Sen. Steve Daines R-Montana,he and Rep. Matt Rosendale R-Montana had lobbied the Biden administration to grant Gianforte’s petition for grizzly delisting.,,,,,,This is great news for Montana Daines said on Friday. The science is clear — it’s time to delist the grizzly bear. I’m glad to see Fish and Wildlife Service listen to science Montanans and Gov. Gianforte to move forward with the process to delist the grizzly bear in the Northern Continental Divide and Greater Yellowstone Ecosystems.,,,,,,
41,Grizzly Bear Council adjourns: Full consensus not reached on zones hunting,https://www.proquest.com/docview/2426190344/47A4961FA6A24AD3PQ/10?accountid=14793&sourcetype=Newspapers,Newspaper,7/23/22,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Lorents Grosfield former state senator,felt that allowing grizzly populations to expand into the eastern reaches of the state would be counter productive.,,,,,,I have yet to run into anybody who want grizzlies in eastern Montana Grosfield said. Grizzly bears in eastern Montana do nothing to get grizzlies delisted. The thing thats going to get grizzlies delisted is to have them in the four recovery areas in significant numbers.Weve only got nine bear managers in the state he added and we need several more in western Montana. I think if we get grizzlies wandering in eastern Montana theres probably not going to be near the conflict response that there is in western Montana.,,,,,,
42,Sen. Enzi Urges Colleagues to Delist Grizzly Bears in Greater Yellowstone Ecosystem,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/wire-feeds/sen-enzi-urges-colleagues-delist-grizzly-bears/docview/2441235178/se-2?accountid=14793,Wire Feed,9/10/20,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Sen. Michael B. Enzi R-Wyoming,advocated for grizzly bears in the Greater Yellowstone Ecosystem to be removed from the list of endangered species and for states to manage the species.,S.614 the Grizzly Bear State Management Act which Enzi introduced in February 2019. The bill would direct the Department of the Interior to re-issue its 2017 decision to delist the grizzly bear in the Greater Yellowstone Ecosystem and prohibit further judicial review of this decision. U.S. Senators Steve Daines R-Mont. John Barrasso R-Wyo. James Risch R-Idaho and Mike Crapo R-Idaho are cosponsors of the Grizzly Bear State Management Act. Congresswoman Liz Cheney R-Wyo. introduced an identical companion bill in the House last year.,,,,Wildlife experts and federal officials agree that the grizzly bears in Greater Yellowstone Ecosystem have been fully recovered for years Enzi said in his testimony at the hearing., Senseless litigation still continues to hinder the effective state management and protection of the species.,As the grizzly bear population has increased in Wyoming so has the danger these animals pose to livestock property and to humans,,,,,
59,LUMMIS REINTRODUCES BILL TO DELIST GREATER YELLOWSTONE GRIZZLY,https://www.proquest.com/docview/2778068375/677DF260FD734A21PQ/28?accountid=14793&sourcetype=Other%20Sources,U.S. Senate Documents,2/16/23,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Cynthia Lummis (R-WY) ,Grizzly bears are an essential part of the ecosystem of Wyoming but keeping them listed hurts their populations more than it helps them. Wildlife managers that live near the bears and study them closely have a better idea of population parameters than out-of-state activists. Its time to delist the grizzly in our area and let science dictate our wildlife policy.,,,By all scientific measures the grizzly bears of the Greater Yellowstone Ecosystem are fully recovered. Reproductive numbers are stable and the population is at or near its max capacity for the habitat. Its time to remove the grizzlies in this area from the Endangered Species List and allow wildlife scientists in Wyoming Montana and Idaho to manage the populations according to science (Pertinant to Two Collums)    Grizzly bears are an essential part of the ecosystem of Wyoming but keeping them listed hurts their populations more than it helps them. Wildlife managers that live near the bears and study them closely have a better idea of population parameters than out-of-state activists. Its time to delist the grizzly in our area and let science dictate our wildlife policy.,,By all scientific measures the grizzly bears of the Greater Yellowstone Ecosystem are fully recovered. Reproductive numbers are stable and the population is at or near its max capacity for the habitat. Its time to remove the grizzlies in this area from the Endangered Species List and allow wildlife scientists in Wyoming Montana and Idaho to manage the populations according to science (Pertinant to Two Collums),,,,,,,
60,LUMMIS REINTRODUCES BILL TO DELIST GREATER YELLOWSTONE GRIZZLY,https://www.proquest.com/docview/2778068375/677DF260FD734A21PQ/28?accountid=14793&sourcetype=Other%20Sources,U.S. Senate Documents,2/16/23,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,John Barrasso (R-WY),,,,Wyomings good work and sound management have proven to be successful in managing the grizzly bear population in the Greater Yellowstone Ecosystem. The science over the years has been extremely clear: grizzly bears no longer need protection under the Endangered Species Act  (Pertinant to Two Collums),,Wyomings good work and sound management have proven to be successful in managing the grizzly bear population in the Greater Yellowstone Ecosystem. The science over the years has been extremely clear: grizzly bears no longer need protection under the Endangered Species Act  (Pertinant to Two Collums)  The last three presidential administrations - both RePublican and Democrat - have determined the grizzly is recovered. It is past time Wyoming not Washington is in full control of managing the bear.,,,,,,,
61,LUMMIS REINTRODUCES BILL TO DELIST GREATER YELLOWSTONE GRIZZLY,https://www.proquest.com/docview/2778068375/677DF260FD734A21PQ/28?accountid=14793&sourcetype=Other%20Sources,U.S. Senate Documents,2/16/23,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Mike Crapo (R-ID),,The Grizzly Bear State Management Act will restore responsibility to the right level. (informion on act is unmentioned),,Idahos local wildlife managers are best suited to responsibly manage grizzly bear populations while simultaneously addressing the needs of the landscape and local communities,,,,,,,,,
62,LUMMIS REINTRODUCES BILL TO DELIST GREATER YELLOWSTONE GRIZZLY,https://www.proquest.com/docview/2778068375/677DF260FD734A21PQ/28?accountid=14793&sourcetype=Other%20Sources,U.S. Senate Documents,2/16/23,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,James Risch (R-ID),,Grizzly bears in the Greater Yellowstone Ecosystem have hit all recovery targets due to the hard work of states like Idaho. In fact all of Idahos grizzly bear populations have made substantial recoveries. Increasing populations and human encounters make it abundantly clear grizzlies in our state do not belong on the endangered species list. The Grizzly Bear State Management Act is an important step in delisting grizzlies in part of Idaho but it is time for full delisting for all grizzlies within the state said Senator Risch.  (informion on act is unmentioned),,,,Grizzly bears in the Greater Yellowstone Ecosystem have hit all recovery targets due to the hard work of states like Idaho. In fact all of Idahos grizzly bear populations have made substantial recoveries. Increasing populations and human encounters make it abundantly clear grizzlies in our state do not belong on the endangered species list. The Grizzly Bear State Management Act is an important step in delisting grizzlies in part of Idaho but it is time for full delisting for all grizzlies within the state said Senator Risch.,,,,,,,
63,LUMMIS REINTRODUCES BILL TO DELIST GREATER YELLOWSTONE GRIZZLY,https://www.proquest.com/docview/2778068375/677DF260FD734A21PQ/28?accountid=14793&sourcetype=Other%20Sources,U.S. Senate Documents,2/16/23,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Steve Daines (R-MT),,,,Montanans know whats best for our communities Public safety and the ecosystem when it comes to the grizzly bear--its time we return wildlife management back to the hands of local leaders. The science is clear: the grizzly bear population has more than recovered in the Greater Yellowstone Ecosystem Area and it is past time to delist the grizzly bear said Senator Daines.,,,,,,,,,
74,Sen. Barrasso Issues Statement on Action on Grizzly Bear in Greater Yellowstone Ecosystem,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/wire-feeds/sen-barrasso-issues-statement-on-action-grizzly/docview/2267341016/se-2?accountid=14793,Wire Feed,7/30/19,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Sen. John Barrasso R-Wyoming,The grizzly is fully recovered in Wyoming. End of story....The Fish and Wildlife Service first moved to delist the bear almost 15 years ago. The last three administrations made the determination that the grizzly bear was recovered.,,Wyoming has a proven track record of strong science-based management of the grizzly bear. Protections under the Endangered Species Act are unnecessary and not supported by the facts. Now the administration needs to focus on successfully delisting the grizzly bear in Wyoming and allow the state experts to resume successful management.,,,The grizzly is fully recovered in Wyoming. End of story,Wyoming has a proven track record of strong science-based management of the grizzly bear. Protections under the Endangered Species Act are unnecessary and not supported by the facts. Now the administration needs to focus on successfully delisting the grizzly bear in Wyoming and allow the state experts to resume successful management.,,,,,,
79,Montana commission takes heat for grizzly bear legislation; slightly modifies rule,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/montana-commission-takes-heat-grizzly-bear/docview/2856643067/se-2?accountid=14793,Newspaper,8/17/23,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Sen. Bruce Butch Gillespie R-Ethridge,,SB 295 requires revision of state law related to grizzly bear management if or when they are removed from the endangered species list by the U.S. Fish and Wildlife Service,,,,The bears are recovering he said and have been protected under the Endangered Species Act for 48 years. He pointed to a recent report of a grizzly bear sow with two cubs on the Shelby golf course as a sign that the animals are doing well.,,,,,,,
