Num,Document ,url,type,Pub_date,Access_date,Search,Databse,Type_actor,Condensed_gov_actors,Condensed_level,Condensed_function,Political_actor,Pol_actor_persp,Law_detailed,State_of_science,Process_as_is,Distinct_population,Recovery_goals,Agency_capacity,Human_wildlife_conflict,Native_persp,Costs_mgmt,Privateland_losshabitat,Hunting_mgmt,Climate_change
11,Bear Necessities / The grizzlies of Yellowstone have made a comeback but now there is debate about what they need to continue. SEE SIDEBAR: How to Keep Peace Between Man Beast: [ALL EDITIONS],https://www.proquest.com/usnews/docview/279437124/4B122FBFE9544D27PQ/19?accountid=14793&sourcetype=Newspapers,Newspaper,5/31/01,7/10/24,grizzly bear AND delist,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator ,,,,,,Servheen the national grizzly bear recovery coordinator said the Yellowstone-area bears are doing well and increasing in population at 3 or 4 percent a year ... we are not exceeding our mortality limits for either females or the population as a whole.,,Servheen said there were 19 human- caused bear deaths in and around the Yellowstone area last year 14 of them due to hunters. It is illegal to hunt grizzlies but the bears are killed by hunters who mistake them for black bears or who claim self-defense.,,,,,
13,Bear Necessities / The grizzlies of Yellowstone have made a comeback but now there is debate about what they need to continue. SEE SIDEBAR: How to Keep Peace Between Man Beast: [ALL EDITIONS],https://www.proquest.com/usnews/docview/279437124/4B122FBFE9544D27PQ/19?accountid=14793&sourcetype=Newspapers,Newspaper,5/31/01,7/10/24,grizzly bear AND delist,ProQuest U.S. Newsstream,Federal Agency ,Federal Executive,Federal,Executive,David Mattson a grizzly specialist at the U.S. Geological Survey field,,,,,,,,,,,,,We stand to lose two foods that are particularly important to the grizzlies Mattson said. The others are unpredictable. The grizzlies tend to feed during springtime on carcasses of elk and bison that died during the winter. When the winters are less harsh as they have been recently there are fewer carcasses to give the bears immediate access to protein-rich food as they emerge from their winter dens.
15,Grizzly Face-Off,https://www.proquest.com/usnews/docview/1824476154/CDC09605D4E49B7PQ/9?accountid=14793&sourcetype=Newspapers,Newspaper,5/16/16,7/11/24,grizzly bear AND delist,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator since 1981,The objective of the Endangered Species Act is to get a species to the point where protection is no longer required says Servheen who announced his retirement at the end of April. Its not like the Wilderness Act where places must forever remain listed after theyve been designated. The ESA needs success stories to strengthen the law and the Yellowstone grizzly bear recovery is the greatest success story of all.,,The objective of the Endangered Species Act is to get a species to the point where protection is no longer required says Servheen who announced his retirement at the end of April. Its not like the Wilderness Act where places must forever remain listed after theyve been designated. The ESA needs success stories to strengthen the law and the Yellowstone grizzly bear recovery is the greatest success story of all.,,The Northern Continental Divide Ecosystem which spans 9600 square miles in northwestern Montana and includes Glacier National Park is home to an estimated 960 grizzly bears. A century ago Yellowstones grizzlies mingled and procreated with these northern neighbors and one goal of the 1993 Recovery Plan was to re-unite the two groups. But today more than 150 treacherous miles of farmland and roadways still separate the populations.Servheen however is confident the two populations will soon connect aided by projects to help the animals bridge highways like 1-90 which cuts the two populations in half. Even without connectivity the Yellowstone population is genetically healthy says Servheen. Its not a small isolated population; its a large isolated population.,We have three times as many bears occupying more than twice the range we did when we started says Servheen. Thats in spite of the fact that grizzly bears or Ursus arctos horribilis are the second slowest-reproducing land animal in North America just behind the musk ox taking two or three years to rear a single litter of cubs. And unlike most other listed species they sometimes kill human beings. Since 1872 grizzlies have killed eight people in Yellowstone National Park. And yet weve done it Servheen says. Thats a good story.,,,,,,,
17,Endangered and Threatened Wildlife and Plants; Removing the Greater Yellowstone Ecosystem Population of Grizzly Bears From the Federal List of Endangered and Threatened Wildlife,https://www.proquest.com/docview/1923039262/9BEC1F51579B43F6PQ/7?accountid=14793&sourcetype=Reports,Report,6/30/17,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service ,,This action is authorized by the Act. We are amending 50 CFR 17.11(h) by revising the listing for Bear grizzly under Mammals in the List of Endangered and Threatened Wildlife to remove the GYE grizzly bear DPS.                                                  Qoute from article,,In compliance with this order the GYE population of grizzly bears remained federally listed as threatened under the Act and the IGBST initiated more thorough research into the potential impact of whitebark pine decline on GYE grizzly bears. In this final rule among the other findings we respond to the District Courts remand and the Ninth Circuits determination that the Service failed to support its conclusion that whitebark pine declines did not threaten GYE grizzly bears.Qoute from article,,On March 11 2016 we proposed to designate the GYE population of grizzly bears as a DPS and to remove (delist) this DPS from the Federal List of Endangered and Threatened Wildlife (81 FR 13174). Qoute from article,In addition our proposed rule included a notice announcing the availability of the draft Grizzly Bear Recovery Plan Supplement: Revised Demographic Criteria and the draft 2016 Conservation Strategy. Qoute from article,,,We have not analyzed the costs or benefits of this rulemaking action because the Act precludes consideration of such impacts on listing and delisting determinations. Instead listing and delisting decisions are based solely on the best scientific and commercial data available regarding the status of the subject species.,,,
22,Interior Issues Proposed Rule for Removing Greater Yellowstone Ecosystem Population of Grizzly Bears From Federal List of Endangered Threatened Wildlife,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/usnews/wire-feeds/interior-issues-proposed-rule-removing-greater/docview/1823411006/sem-2?accountid=14793,Wire Feed,9/27/16,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service ,The State regulations describe Wyoming Montana and Idahos approach to managing human-caused mortality should we delist the grizzly bear in the GYE. The State regulatory mechanisms include Montanas Grizzly Bear Hunting Regulations Chapter 67 of the Wyoming Game and Fish Commission regulations Idahos Fish and Game Commission Proclamation and the Memorandum of Agreement Regarding the Management and Allocation of Discretionary Mortality of Grizzly Bears in the Greater Yellowstone Ecosystem (Tri-State MOA),Revise the List of Endangered and Threatened Wildlife in title 50 of the Code of Federal Regulations at 50 CFR 17.11(h) under the authority of the Endangered Species Act of 1973 as amended (16 U.S.C. 1531 et seq.) by removing the GreaterYellowstone Ecosystem (GYE) population of grizzly bears (Ursus arctos horribilis) (81 FR 13174),Our preliminary assessment is that these documents are consistent with the letter or intent of the regulatory requirements regarding human-caused mortality that we outlined in the proposed rule. Thus based on our review we believe the regulatory framework in Montana Wyoming and Idaho in combination with the Tri-State MOA will maintain a recovered population of grizzly bears in the GYE.,,,,,,,,,The State regulations describe Wyoming Montana and Idahos approach to managing human-caused mortality should we delist the grizzly bear in the GYE. The State regulatory mechanisms include Montanas Grizzly Bear Hunting Regulations Chapter 67 of the Wyoming Game and Fish Commission regulations Idahos Fish and Game Commission Proclamation and the Memorandum of Agreement Regarding the Management and Allocation of Discretionary Mortality of Grizzly Bears in the Greater Yellowstone Ecosystem (Tri-State MOA).,
23,Grizzly ruling entangles Montana bears outside of Yellowstone,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/usnews/newspapers/grizzly-ruling-entangles-montana-bears-outside/docview/2224566917/sem-2?accountid=14793,Newspaper,9/25/18,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service ,Our focus is to manage grizzly bears on the landscape including responding to conflict educating the Public about being safe in bear country minimizing conflicts and keeping grizzly bears at or above recovery levels.,,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read. Our determination was based on our rigorous interpretation of the law and is supported by the best available science and a comprehensive conservation strategy developed with our federal state and tribal partners. In light of the court’s ruling management of grizzly bears returns to the federal government and we will work with the states and tribes to ensure that this transition proceeds in accordance with the court’s order. The Service will examine this ruling to determine its likely impact on the future of this recovered iconic species.,,,,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read.,,,,,,
26,Grizzly Bear Comeback Prompts Growls of Protest,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/usnews/historical-newspapers/grizzly-bear-comeback-prompts-growls-protest/docview/816334884/sem-2?accountid=14793,Newspaper,1/13/97,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Interagency Grizzly Bear Committee,,,Proclaiming the highest count of bear cubs in the Yellowstone ecosystem in decades members of the Interagency Grizzly Bear Committee say they have moved a step closer toward removing the ambling carnivores from the list of federal protection,,,,But many conservationists regard the US Fish and Wildlife Services optimism with suspicion maintaining that government assertions are contradicted by independent scientists.,In 1994 and 1995 23 percent of the ecosystems breeding females were killed as a result of run-ins with humans on Public and private land,,,,,
31,BEAR DOWN: Grizzly bear euthanized after killing hiker in Yellowstone,https://www.proquest.com/docview/1704745296/AA0BC50090504ABEPQ/4?accountid=14793&sourcetype=Newspapers,Newspaper,8/14/14,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Amy Bartlett Yellowstone spokesperson The National Park Service,We dont want a bear running around the park looking at humans as a food source,,,,,In the 40 years since the listing the grizzlies have made a strong comeback with between 750 and 800 grizzlies now living in the Greater Yellowstone Ecosystem.Qoute from article,The grizzlys death has come as a blow to some wildlife advocates who were campaigning to save the mama bear.Qoute from article,Normally a bear would look to neutralize the threat to themselves and their cubs and then retreat. But this bear decided to consume a significant portion of the body.,,,,,
34,UPDATED: MT pols praise FWS review of grizzly ESA status,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/updated-mt-pols-praise-fws-review-grizzly-esa/docview/2772188787/se-2?accountid=14793,Newspaper,2/3/23,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service,accepted requests from Montana and Wyoming to consider removing the grizzly bear from protection under the Endangered Species Act,,It’s pretty embarrassing for a multibillion-dollar company to try and save a few nickels on the backs of grizzly bears Servheen said. This plan has been ready to go for years and it’s all been examined in great detail and it lays out what they can do to help offset some of the effects of the railroad by helping fund some of these positions. It’s not a huge financial imposition on them so I can’t understand why they’re trying to avoid responsibility., the impact of recently enacted state laws and regulations affecting these two grizzly bear populations is of concern and needs to be evaluated. The Service will fully evaluate these and all other potential threats and associated state regulatory mechanisms,,,,,,,,,
53,Montana to start trucking grizzlies into Yellowstone region to improve delisting prospects,https://www.proquest.com/docview/2899184180/9B9DB0741EDC4238PQ/11?accountid=14793&sourcetype=Newspapers,Newspaper,12/7/23,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen Grizzly recovery coordinator  U.S. Fish and Wildlife Service,conditionally supports the step that state managers plan to take in 2024.I’m okay with them doing it in the interim until the bears are naturally connected Servheen said but I do not want trucking bears to be the alternative to minimizing mortality in the intervening areas. The optimum is for the bears to naturally connect.,,,,,,,,,,,,
54,Grizzly bears Defying fears of extinction Ursus horribilis thrive in Yellowstone: [FINAL EDITION C],https://www.proquest.com/docview/282612977/9B9DB0741EDC4238PQ/13?accountid=14793&sourcetype=Newspapers,Newspaper,11/19/89,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen grizzly bear coordinator U.S. Fish and Wildlife Service   ,optimistic about the bears short-term future and he thinks they will be removed from the list of threatened species in Yellowstone within the next decade.,,,,,,But the long-term prognosis for grizzlies in the Yellowstone ecosystem remains questionable as mans development continues to encroach on prime bear habitat. Environmentalists are fighting many proposed activities in bear habitat ranging from timber sales to the construction of vacation homes.All those pressures will continue in grizzly bear habitat. Theyll never go away Servheen said.,,,,,,
56,Grizzly bears still need help to survive: [Final Edition],https://www.proquest.com/docview/254640670/9B9DB0741EDC4238PQ/18?accountid=14793&sourcetype=Newspapers,Newspaper,5/15/06,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Excutaive Branch,Federal Executive,Federal,Executive,Bush administration Secatary of the Interior,,Recently the Bush administration has proposed stripping the Yellowstone grizzly of this protection. The Public comment period ended March 20 (with 250 scientists signing a letter urging continued protection) and now the secretary of interior will decide if the grizzly will be removed from the endangered-species list.,,,,,,,,,,,
58,Grizzly bears still need help to survive: [Final Edition],https://www.proquest.com/docview/254640670/9B9DB0741EDC4238PQ/18?accountid=14793&sourcetype=Newspapers,Newspaper,5/15/06,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service,,The U.S. Fish and Wildlife Service has proposed to helicopter in an occasional female grizzly from Canada or maybe Glacier National Park. But the only long-term solution is to expand the Yellowstone bears range so that they can intermingle with other grizzly populations along the Canadian border.,,,,,,,,,,,
72,YOURE NEXT ARE GRIZZLIES READY TO COME OFF THE ENDANGERED SPECIES LIST?,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/youre-next-are-grizzlies-ready-come-off/docview/869746931/se-2?accountid=14793,Newspaper,5/26/11,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator ,Servheens fear that the wolf debate has even eroded Public support for the ESA seems justified. The ESA has become a political flashpoint.,,,Servheen of Fish and Wildlife finds the skepticism about delisting in Yellowstone and elsewhere frustrating. Many environmental groups have helped out with numerous on-the-ground initiatives he says including The Nature Conservancy the National Wildlife Federation and Defenders of Wildlife. Although Defenders opposed wolf delisting they supported the removal of Yellowstone grizzlies from the ESA. But other groups simply want to cast stones Servheen says. Its the old adage that its easier to kick down a barn than it is to build one. I dont even know who those people are he continues. I never see them. They never come to meetings theyre never involved in our recovery activities. But they can take a lawsuit to a judge in Missoula and stop 25 years of conservation efforts in the Yellowstone ecosystem.,,,,,,State and federal agencies landowners and environmentalists have built what Servheen calls a gold-plated post-delisting management plan for Yellowstone grizzlies. Implementation would cost roughly $3.4 million per year. ,,,
80,A great success after 50 years: From spotted owls to Chinook salmon and grizzly bears law protects wildlife on the brink,https://www.proquest.com/docview/2907892538/DA917716ACD9497BPQ/2?accountid=14793&sourcetype=Newspapers,Newspaper,12/31/23,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Excutaive Branch,Federal Executive,Federal,Executive,President Richard Nixon,,President Richard Nixon signed the Endangered Species Act into law the U.S. Fish and Wildlife Service included the grizzly on its list of species on the brink.   (Qoute from Article),,,,,,,,,,,
84,Wildlife Official Provokes New Furor on Grizzly Bear: [Metro Edition],https://www.proquest.com/docview/401493521/CA3A46C8224E474APQ/9?accountid=14793&sourcetype=Newspapers,Newspaper,1/22/86,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Frank Dunkle Fish and Wildlife Service Director and former director of the Montana Department of Fish Wildlife and Parks,,announced in early December that he had taken the first step to remove the bears in that region from the protection of the Endangered Species Act (Qoute from article)(Pertinant in two collums),,, made it clear he was talking only about the estimated 500 to 800 grizzlies within a 9600 square mile area known as the Northern Continental Divide Ecosystem. The few hundred other grizzlies in scattered parts of the Rocky Mountain states including the estimated 200 in the Yellowstone National Park area would remain on the threatened list he said.,announced in early December that he had taken the first step to remove the bears in that region from the protection of the Endangered Species Act (Qoute from article)(Pertinant in two collums),,,,,,,
87,NW Montana grizzly deaths spur pushback,https://www.proquest.com/docview/2313801663/CA3A46C8224E474APQ/102?accountid=14793&sourcetype=Newspapers,Newspaper,9/12/19,7/12/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service,,Last year the U.S. Fish and Wildlife Service put a hold on plans to possibly remove the NCDE population from protection under the Endangered Species Act based on a federal judge’s opinion involving grizzlies in the Yellowstone National Park ecosystem.,,,,,,,,,,,
92,Proposed Endangered Species Delisting of Yellowstone Grizzly Bears,https://www.proquest.com/docview/1864042029/40CC176DD7724C76PQ/14?accountid=14793&sourcetype=Magazines,Magazine,9/22/16,7/13/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service,AMERICAN FORESTS emphatically expressed our reservations to the U.S. Fish and Wildlife Service (USFWS) regarding the delisting of the grizzly bear in the Greater Yellowstone Ecosystem (GYE). As a primarily forested ecosystem American Forests has a direct interest in the GYE and the status of its population of grizzly bears.(Qoute from Article),,,,,,,,,,,,
93,Yellowstone bears are still able to fatten up despite loss of some key foods study finds,https://www.proquest.com/docview/2822557430/E51AE94FD2D546E9PQ/26?accountid=14793&sourcetype=Newspapers,Newspaper,6/5/23,7/13/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,USGS scientists,,,,,,,,,,,,,Though the grizzly bears of the Greater Yellowstone Ecosystem have been able to maintain fat levels and overall body size as environmental conditions changed over the past two decades it is not known how they will adapt to more extreme disturbances in the future such as continued warming changing wildfire patterns and increasing human development and recreation.
99,Living with the grizzly bears: Panel discusses managing growing population in Montana,https://www.proquest.com/docview/1911522490/Record/EB151F2E80684685PQ/101?accountid=14793,Newspaper,6/21/17,7/13/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Matt Hogan deputy director of the U.S. Fish and Wildlife Service,,work still is occurring on coming up with a delisting rule for the NCDE. A delisting rule was proposed for the Yellowstone area in March and a decision is expected soon he said.,,,,,,,,,,,
107,DELISTING ON THE HORIZON?: Leading bear biologist to give speech on history of Yellowstone grizzlies on Saturday Aug. 23,https://www.proquest.com/docview/1554312256/3A7193C227814A10PQ/119?accountid=14793&sourcetype=Newspapers,Newspaper,9/19/14,7/13/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Kerry Gunther biologist Yellowstones bear management program,,,,,,The grizzly bears represent a great conservation success story he said. Its important to show that the ESA is working and the bears are ready to be delisted.   The population has recovered in numbers and the grizzlies have expanded in range Gunther said. But Im sure there will be lawsuits if they are delisted.,The population has recovered in numbers and the grizzlies have expanded in range Gunther said. But Im sure there will be lawsuits if they are delisted. (Pertinant in two cells),In an effort to reduce human-bear conflicts  they closed garbage dumps in the 1960s Gunther said. After that the grizzlies had a much higher mortality rate.,,,,,
110,GRIZZLY GURU: Bear biologist tries to defuse human conflicts with bears,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzly-guru/docview/2520837309/se-2?accountid=14793,Newspaper,3/31/21,7/15/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Tim Manley Grizzly Bear Management Specialist for Northwest Montana a position he has held since 1993,,,,Its been a long process and its been political at times. But working hand-in-hand with landowners and building relationships with other people and helping them build a connection to grizzly bears on the landscape thats the key to conservation. Thats the key to recovery.,,,,According to Manleys most recent grizzly bear management report 279 individual grizzly bears have been captured 475 times under his supervision since 1993. Of those captured bears 161 (58%) are known to have died or were sent to zoos meaning they were permanently removed from the recovery population. Most of the mortalities (35%) have been through management removals meaning the bears engaged in repeated conflicts that led to capture relocation and eventually death as the direct result of a human-related conflict.,,,,,
120,Bear biologist sees human management as major challenge,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/bear-biologist-sees-human-management-as-major/docview/2621098642/se-2?accountid=14793,Newspaper,1/19/19,7/15/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Kerry Gunther lead bear biologist in Yellowstone National Park,,,,,Right now our genetic diversity is not at risk but eventually if they don’t connect it could be Gunther said. In the next decade or two it could happen.,We probably reached ecological carrying capacity in the mid- to late-‘90s Gunther said. The population is now pretty stable.,,The rest of the year when bears are roaming the landscape black bears and grizzlies are always top of mind for Gunther who has spent 39 of his 62 years working with bruins in the nation’s first national park.There are so many ways they can come into conflict with people usually at the fault of people and we get called to deal with them Gunther said.,,,Some of those people are building homes in what is now referred to as the wildland urban interface or WUI next to national forests and trout streams seen as amenities that increase a property’s value. Such development means fewer places for wildlife to avoid contact with humans.,,
127,State to fight grizzly bear transplant Kempthorne vows to stop expected federal plan: [IDAHO Edition],https://www.proquest.com/docview/394888306/826736D5A47D4D35PQ/10?accountid=14793&sourcetype=Newspapers,Newspaper,6/5/00,7/15/24,grizzly bear AND Grizzly Bear State Management Act,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Johnna Roy wildlife biologist recovery team USFWS,If all the stars line up the soonest we would begin placing bears is in the summer of 2001,,,,,,The bears do not breed until they are 4 years old and then produce two cubs every third year Roy said. So depending on conflicts it could take as long as a century for the Bitterroot bear population to hit the 280 target.,,,,,,
134,Do Killer Grizzlies Deserve Death?: Federal officials defied their own rules in deciding to kill the mother bear behind this months Yellowstone tragedy. The lives of the endangered species are about to get even cheaper.,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/blogs-podcasts-websites/do-killer-grizzlies-deserve-death/docview/1717012776/se-2?accountid=14793,Blog,8/22/15,7/15/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Dan Wenk Yellowstone National Park Superintendent,,,,As managers of Yellowstone National Park we balance the preservation of park resources with Public safety says Superintendent Wenk. Our decision [to remove the grizzly family] takes into account the facts of the case the goals of the bear management program and the long-term viability of the grizzly bear population as a whole rather than an individual bear.,,,, If bears are trapped and identified as having been involved in the attack the park service said they will be euthanized.In the same press release Park Superintendent Dan Wenk stated: We may not be able to conclusively determine the circumstances of this bear attack but we will not risk Public safety. Apparently the superintendent had already made up his mind.,,,,,
142,GRIZZLY BEARS COMEBACK THREATENS ITS PROTECTIONS: [Broward Metro Edition],https://www.proquest.com/docview/389942155/2EC34BCEB67440E9PQ/17?accountid=14793&sourcetype=Newspapers,Newspaper,11/16/05,7/16/24,grizzly bear AND Grizzly Bear State Management Act,ProQuest U.S. Newsstream,Interior Secretary,Federal Executive,Federal,Executive,Gale Norton,,,,,,,,grizzly bear recovery has been a success because of cooperation between state and federal governments biologists and conservation groups.,,,,,
149,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzlies-losing-ground-around-yellowstone-their/docview/421957170/se-2?accountid=14793,Newspaper,1/9/05,7/16/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen Fish and Wildlifes grizzly bear coordinator,a strong advocate of delisting the Yellowstone grizzlies,,,,, the Fish and Wildlife Service contends the grizzlies whose population has more than doubled in the three decades it has been on the list no longer need the special protection afforded by the law.,,,,,,,
150,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzlies-losing-ground-around-yellowstone-their/docview/421957170/se-2?accountid=14793,Newspaper,1/9/05,7/16/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Dave Mattson U.S. Geological Survey,,,,,,,,,,,,,but he worried that not enough was known about comparatively new threats such as climate change and the proliferation of nonnative species that could deplete some of the bears food sources by 90%.
151,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzlies-losing-ground-around-yellowstone-their/docview/421957170/se-2?accountid=14793,Newspaper,1/9/05,7/16/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Kim Barber the U.S. Forest Services grizzly bear and wolf coordinator for the Rocky Mountain region,,,,,,,,,,,,In some ways I see hunting of grizzly bears in the future as a positive tool said Kim Barber the U.S. Forest Services grizzly bear and wolf coordinator for the Rocky Mountain region.The only way the bear is going to survive in the Yellowstone Ecosystem is to have Public support for it. Hunting will help.,
152,Grizzlies Losing Ground Around Yellowstone; Their death rate has hit a 15-year high and they may be taken off the endangered species list,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzlies-losing-ground-around-yellowstone-their/docview/421957170/se-2?accountid=14793,Newspaper,1/9/05,7/16/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chuck Neal an ecologist and bear expert retired from the U.S. Bureau of Land Management in Wyoming,,,,,,,,,,,,said an anti-bear hysteria drives the hunting discussion. Hes particularly concerned that state and local officials -- susceptible to citizen pressure -- will establish bear management plans that permit bear killing in an array of circumstances.They are the kind of people whose idea of wildlife management is to kill anything that looks at them crossways. Its a 19th century approach Neal said. I dont support state control of the [grizzly]. I fear bears are headed into a wall of lead.,
155,Shoshone tribe invited to sign historic grizzly bear treaty,https://www.proquest.com/docview/1829033739/60F6F9861697458CPQ/148?accountid=14793&sourcetype=Newspapers,Newspaper,9/29/16,7/16/24,grizzly bear AND Grizzly Bear State Management Act,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Director Ashe USFWS,,,,To the delisting pathway ultimately taken Ashe responds: I may be missing something but this recommendation seems at odds with the best available science standard of ESA.,,,,,,,,,
160,Grizzlies once thrived in these wilds. The U.S. may bring them back.,https://www.proquest.com/docview/2735578234/54E934D9B64248BBPQ/181?accountid=14793&sourcetype=Blogs%20Podcasts%20&%20Websites,NOTRELEVANT,11/13/22,7/17/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Fedaral Agency,Federal Executive,Federal,Executive,Don Striker superintendent of North Cascades National Park,For bringing back the grizzly stating This is a first step toward bringing balance back to the ecosystem and restoring a piece of the Pacific Northwests natural and cultural heritage ,,,,,,,,,,,,
161,Grizzlies once thrived in these wilds. The U.S. may bring them back.,https://www.proquest.com/docview/2735578234/54E934D9B64248BBPQ/181?accountid=14793&sourcetype=Blogs%20Podcasts%20&%20Websites,NOTRELEVANT,11/13/22,7/17/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Excutaive Branch,Federal Executive,Federal,Executive,David Bernhardt Interior Secretary,Pledged to continue improving grizzly bear populations in other areas of the country but not in the state of Washington The people who live and work in north central Washington have made their voices clear that they do not want grizzly bears reintroduced into the North Cascades ,,,,,,,,,,,,
